date,code,close,name,industry,hs300_close,year_month,cpi_yoy,m2_yoy,return,hs300_return
2020-05-20,000002,4009.59,万科A,房地产,3935.222,2020-05,3.3,11.1,-0.016693397683965716,-0.005315134281200562
2020-05-21,000002,4005.66,万科A,房地产,3913.795,2020-05,3.3,11.1,-0.0009801500901589488,-0.005444927884627582
2020-05-22,000002,3950.68,万科A,房地产,3824.064,2020-05,3.3,11.1,-0.013725578306696073,-0.022926852326194957
2020-05-25,000002,3989.95,万科A,房地产,3829.325,2020-05,3.3,11.1,0.009940060951532326,0.0013757614935314688
2020-05-26,000002,4038.39,万科A,房地产,3872.77,2020-05,3.3,11.1,0.01214050301382219,0.011345341541916687
2020-05-27,000002,4047.55,万科A,房地产,3845.614,2020-05,3.3,11.1,0.00226823065627646,-0.007012035313225362
2020-05-28,000002,4078.97,万科A,房地产,3856.632,2020-05,3.3,11.1,0.007762720658175848,0.002865082142929687
2020-05-29,000002,4021.37,万科A,房地产,3867.023,2020-05,3.3,11.1,-0.014121211972630276,0.0026943198106534894
2020-06-01,000002,4113.01,万科A,房地产,3971.34,2020-06,2.4,11.1,0.02278825375431759,0.026976048500358063
2020-06-02,000002,4222.97,万科A,房地产,3983.568,2020-06,2.4,11.1,0.02673467849579758,0.003079061475471878
2020-06-03,000002,4170.61,万科A,房地产,3983.648,2020-06,2.4,11.1,-0.01239885672879526,2.008249890539382e-05
2020-06-04,000002,4156.21,万科A,房地产,3982.185,2020-06,2.4,11.1,-0.003452732334118913,-0.0003672513234102004
2020-06-05,000002,4114.32,万科A,房地产,4001.251,2020-06,2.4,11.1,-0.01007889399236328,0.004787823770116217
2020-06-08,000002,4139.19,万科A,房地产,4021.955,2020-06,2.4,11.1,0.0060447412938224865,0.00517438171211948
2020-06-09,000002,4118.24,万科A,房地产,4047.029,2020-06,2.4,11.1,-0.0050613767427926115,0.006234281586939616
2020-06-10,000002,4084.21,万科A,房地产,4039.705,2020-06,2.4,11.1,-0.008263238665060735,-0.0018097226385084264
2020-06-11,000002,4047.55,万科A,房地产,3995.885,2020-06,2.4,11.1,-0.00897603208454023,-0.010847326723114614
2020-06-12,000002,4022.68,万科A,房地产,4003.083,2020-06,2.4,11.1,-0.006144457758397115,0.0018013531420448814
2020-06-15,000002,4008.28,万科A,房地产,3954.988,2020-06,2.4,11.1,-0.0035797030835164056,-0.012014489831962072
2020-06-16,000002,4037.08,万科A,房地产,4014.57,2020-06,2.4,11.1,0.007185126787549789,0.015065026745972432
2020-06-17,000002,4018.75,万科A,房地产,4017.594,2020-06,2.4,11.1,-0.004540410395632466,0.0007532562640581997
2020-06-18,000002,4046.24,万科A,房地产,4044.384,2020-06,2.4,11.1,0.0068404354587869864,0.0066681700540174305
2020-06-19,000002,4054.1,万科A,房地产,4098.71,2020-06,2.4,11.1,0.0019425441891731676,0.01343245349600819
2020-06-22,000002,4020.06,万科A,房地产,4102.046,2020-06,2.4,11.1,-0.008396438173700727,0.0008139146219177107
2020-06-23,000002,4001.73,万科A,房地产,4121.794,2020-06,2.4,11.1,-0.004559633438306898,0.004814182971131897
2020-06-24,000002,4113.01,万科A,房地产,4138.99,2020-06,2.4,11.1,0.027807973051655166,0.004171969778208107
2020-06-29,000002,4050.17,万科A,房地产,4109.716,2020-06,2.4,11.1,-0.015278348460130209,-0.007072739967963093
2020-06-30,000002,4078.97,万科A,房地产,4163.964,2020-06,2.4,11.1,0.007110812632556085,0.013199938876554906
2020-07-01,000002,4334.24,万科A,房地产,4247.784,2020-07,2.5,11.1,0.06258197535162058,0.020129857030464215
2020-07-02,000002,4373.52,万科A,房地产,4335.845,2020-07,2.5,11.1,0.009062719184909085,0.020731044704721535
2020-07-03,000002,4407.55,万科A,房地产,4419.596,2020-07,2.5,11.1,0.007780917887651118,0.01931595801971686
2020-07-06,000002,4717.81,万科A,房地产,4670.095,2020-07,2.5,11.1,0.07039284863472917,0.056679162529787996
2020-07-07,000002,4623.55,万科A,房地产,4698.126,2020-07,2.5,11.1,-0.019979609183074398,0.00600223335927863
2020-07-08,000002,4636.65,万科A,房地产,4774.004,2020-07,2.5,11.1,0.002833320716765231,0.01615069497923205
2020-07-09,000002,4666.75,万科A,房地产,4840.771,2020-07,2.5,11.1,0.006491755901351315,0.013985534993267601
2020-07-10,000002,4475.63,万科A,房地产,4753.133,2020-07,2.5,11.1,-0.040953554400814274,-0.01810414084863754
2020-07-13,000002,4479.55,万科A,房地产,4852.961,2020-07,2.5,11.1,0.0008758543489966186,0.021002568200805705
2020-07-14,000002,4445.52,万科A,房地产,4806.69,2020-07,2.5,11.1,-0.007596745208782063,-0.009534591355669364
2020-07-15,000002,4359.12,万科A,房地产,4744.469,2020-07,2.5,11.1,-0.019435296658208867,-0.012944666704114427
2020-07-16,000002,4262.24,万科A,房地产,4516.253,2020-07,2.5,11.1,-0.022224669199288005,-0.048101484064918654
2020-07-17,000002,4221.66,万科A,房地产,4544.701,2020-07,2.5,11.1,-0.009520815345921418,0.006299027091706488
2020-07-20,000002,4361.73,万科A,房地产,4680.305,2020-07,2.5,11.1,0.03317889171558108,0.02983782651487976
2020-07-21,000002,4323.77,万科A,房地产,4691.043,2020-07,2.5,11.1,-0.00870296877615051,0.0022942949230870813
2020-07-22,000002,4306.75,万科A,房地产,4714.445,2020-07,2.5,11.1,-0.003936379594659423,0.00498865604088472
2020-07-23,000002,4259.63,万科A,房地产,4712.436,2020-07,2.5,11.1,-0.010940964764613703,-0.0004261371168822192
2020-07-24,000002,4195.48,万科A,房地产,4505.591,2020-07,2.5,11.1,-0.015059993473611644,-0.043893434308709844
2020-07-27,000002,4149.66,万科A,房地产,4528.45,2020-07,2.5,11.1,-0.01092127718401703,0.005073474267859535
2020-07-28,000002,4174.53,万科A,房地产,4568.258,2020-07,2.5,11.1,0.005993262098581642,0.008790645805960118
2020-07-29,000002,4205.95,万科A,房地产,4679.008,2020-07,2.5,11.1,0.007526595808390324,0.024243376797019822
2020-07-30,000002,4175.84,万科A,房地产,4656.151,2020-07,2.5,11.1,-0.0071589058357801605,-0.0048850098140460485
2020-07-31,000002,4170.61,万科A,房地产,4695.046,2020-07,2.5,11.1,-0.0012524426223228247,0.008353466199872095
2020-08-03,000002,4228.21,万科A,房地产,4771.311,2020-08,2.7,10.7,0.013810929336476097,0.016243717313951578
2020-08-04,000002,4288.43,万科A,房地产,4775.802,2020-08,2.7,10.7,0.01424243355935495,0.000941250738004662
2020-08-05,000002,4237.37,万科A,房地产,4777.109,2020-08,2.7,10.7,-0.0119064552761734,0.0002736713121693768
2020-08-06,000002,4241.3,万科A,房地产,4762.764,2020-08,2.7,10.7,0.0009274620814325729,-0.0030028621913379405
2020-08-07,000002,4195.48,万科A,房地产,4707.926,2020-08,2.7,10.7,-0.010803291443661323,-0.011513902431445233
2020-08-10,000002,4297.59,万科A,房地产,4724.87,2020-08,2.7,10.7,0.02433809719030977,0.0035990370281944184
2020-08-11,000002,4306.75,万科A,房地产,4681.784,2020-08,2.7,10.7,0.00213142714870429,-0.009118981051330577
2020-08-12,000002,4415.41,万科A,房地产,4647.645,2020-08,2.7,10.7,0.02523016195507055,-0.007291878480510716
2020-08-13,000002,4401.01,万科A,房地产,4635.713,2020-08,2.7,10.7,-0.0032613052921471875,-0.0025673217296072748
2020-08-14,000002,4413.66,万科A,房地产,4704.629,2020-08,2.7,10.7,0.002874340208270265,0.014866321534573013
2020-08-17,000002,4483.04,万科A,房地产,4815.226,2020-08,2.7,10.7,0.015719380287561924,0.02350812359486798
2020-08-18,000002,4416.27,万科A,房地产,4812.756,2020-08,2.7,10.7,-0.014893911274492244,-0.0005129561935409699
2020-08-19,000002,4382.24,万科A,房地产,4740.678,2020-08,2.7,10.7,-0.007705597710285117,-0.014976450083902138
2020-08-20,000002,4387.47,万科A,房地产,4679.154,2020-08,2.7,10.7,0.0011934535762534448,-0.012977890504269562
2020-08-21,000002,4371.76,万科A,房地产,4718.843,2020-08,2.7,10.7,-0.00358065126371232,0.00848208885623336
2020-08-24,000002,4341.65,万科A,房地产,4755.849,2020-08,2.7,10.7,-0.006887386315808874,0.007842176567434134
2020-08-25,000002,4349.51,万科A,房地产,4761.951,2020-08,2.7,10.7,0.0018103716329047614,0.0012830516696387129
2020-08-26,000002,4335.11,万科A,房地产,4706.13,2020-08,2.7,10.7,-0.0033107177590120385,-0.01172229617650411
2020-08-27,000002,4318.09,万科A,房地产,4731.345,2020-08,2.7,10.7,-0.003926082613820547,0.005357905540221086
2020-08-28,000002,4399.26,万科A,房地产,4844.265,2020-08,2.7,10.7,0.018797662855568165,0.02386636358160321
2020-08-31,000002,4359.98,万科A,房地产,4816.215,2020-08,2.7,10.7,-0.008928774384783011,-0.0057903520967577116
2020-09-01,000002,4353.44,万科A,房地产,4842.122,2020-09,2.4,10.4,-0.0015000068807654587,0.005379120325816
2020-09-02,000002,4392.71,万科A,房地产,4843.887,2020-09,2.4,10.4,0.009020452791355993,0.0003645096096296374
2020-09-03,000002,4430.67,万科A,房地产,4817.095,2020-09,2.4,10.4,0.008641590271153854,-0.0055310951721209145
2020-09-04,000002,4464.71,万科A,房地产,4770.219,2020-09,2.4,10.4,0.007682810951842534,-0.009731176154923249
2020-09-07,000002,4511.84,万科A,房地产,4669.368,2020-09,2.4,10.4,0.010556116746664346,-0.021141796634494114
2020-09-08,000002,4494.82,万科A,房地产,4694.389,2020-09,2.4,10.4,-0.0037722968899607245,0.005358541027393748
2020-09-09,000002,4452.93,万科A,房地产,4584.589,2020-09,2.4,10.4,-0.009319616803342368,-0.023389625359125588
2020-09-10,000002,4515.76,万科A,房地产,4581.978,2020-09,2.4,10.4,0.01410981084364682,-0.0005695167004065027
2020-09-11,000002,4455.55,万科A,房地产,4627.283,2020-09,2.4,10.4,-0.013333303807111063,0.009887651141057496
2020-09-14,000002,4416.27,万科A,房地产,4651.051,2020-09,2.4,10.4,-0.008815971092233199,0.005136491543741739
2020-09-15,000002,4438.53,万科A,房地产,4688.483,2020-09,2.4,10.4,0.005040452689713204,0.008048073435444891
2020-09-16,000002,4480.42,万科A,房地产,4657.358,2020-09,2.4,10.4,0.0094378093648122,-0.006638607839678623
2020-09-17,000002,4463.4,万科A,房地产,4632.714,2020-09,2.4,10.4,-0.0037987510099500854,-0.005291411997961126
2020-09-18,000002,4625.73,万科A,房地产,4737.089,2020-09,2.4,10.4,0.03636913563651034,0.02252998997995559
2020-09-21,000002,4604.78,万科A,房地产,4691.428,2020-09,2.4,10.4,-0.004529014879813498,-0.0096390420361534
2020-09-22,000002,4581.22,万科A,房地产,4635.761,2020-09,2.4,10.4,-0.005116422500097584,-0.01186568354027806
2020-09-23,000002,4547.18,万科A,房地产,4652.327,2020-09,2.4,10.4,-0.007430335150898637,0.003573523311490856
2020-09-24,000002,4468.64,万科A,房地产,4563.066,2020-09,2.4,10.4,-0.017272243456383896,-0.019186312570032227
2020-09-25,000002,4405.8,万科A,房地产,4570.022,2020-09,2.4,10.4,-0.014062444054566914,0.0015244136289065402
2020-09-28,000002,4507.91,万科A,房地产,4581.909,2020-09,2.4,10.4,0.023176267647192272,0.0026010815702854906
2020-09-29,000002,4493.51,万科A,房地产,4591.799,2020-09,2.4,10.4,-0.0031943849810665004,0.0021584889616970138
2020-09-30,000002,4458.16,万科A,房地产,4587.395,2020-09,2.4,10.4,-0.00786690137553947,-0.0009591012150138578
2020-10-09,000002,4459.47,万科A,房地产,4681.141,2020-10,1.7,10.9,0.00029384319988534635,0.020435563102806586
2020-10-12,000002,4496.13,万科A,房地产,4823.158,2020-10,1.7,10.9,0.00822070784196316,0.030338116284042815
2020-10-13,000002,4454.24,万科A,房地产,4839.201,2020-10,1.7,10.9,-0.009316901424113677,0.003326243925660277
2020-10-14,000002,4426.75,万科A,房地产,4807.102,2020-10,1.7,10.9,-0.0061716476884945415,-0.0066331198063481756
2020-10-15,000002,4416.27,万科A,房地产,4798.736,2020-10,1.7,10.9,-0.0023674253120233857,-0.001740341686113589
2020-10-16,000002,4437.22,万科A,房地产,4791.676,2020-10,1.7,10.9,0.0047438222753590775,-0.0014712207547986633
2020-10-19,000002,4421.51,万科A,房地产,4755.488,2020-10,1.7,10.9,-0.0035405050910254365,-0.007552263550373639
2020-10-20,000002,4387.47,万科A,房地产,4793.467,2020-10,1.7,10.9,-0.007698727357848378,0.0079863517687353
2020-10-21,000002,4407.11,万科A,房地产,4792.828,2020-10,1.7,10.9,0.004476383884106205,-0.00013330643561315636
2020-10-22,000002,4454.24,万科A,房地产,4777.985,2020-10,1.7,10.9,0.010694082970472696,-0.00309691897977582
2020-10-23,000002,4439.84,万科A,房地产,4718.488,2020-10,1.7,10.9,-0.003232874744063974,-0.012452320381918236
2020-10-26,000002,4455.55,万科A,房地产,4691.236,2020-10,1.7,10.9,0.003538415798767458,-0.00577557895664893
2020-10-27,000002,4386.16,万科A,房地产,4699.279,2020-10,1.7,10.9,-0.015573834880093451,0.0017144735417278234
2020-10-28,000002,4314.16,万科A,房地产,4737.272,2020-10,1.7,10.9,-0.016415269848797154,0.00808485727278585
2020-10-29,000002,4374.38,万科A,房地产,4772.92,2020-10,1.7,10.9,0.01395868488883134,0.007525005952793151
2020-10-30,000002,4396.64,万科A,房地产,4695.334,2020-10,1.7,10.9,0.005088721144482333,-0.016255457874843948
2020-11-02,000002,4449.0,万科A,房地产,4720.831,2020-11,0.5,10.5,0.011909094217402272,0.005430284618729964
2020-11-03,000002,4459.47,万科A,房地产,4777.561,2020-11,0.5,10.5,0.00235333782872571,0.012016952100170508
2020-11-04,000002,4476.49,万科A,房地产,4813.656,2020-11,0.5,10.5,0.0038165970395585003,0.007555110233024909
2020-11-05,000002,4619.18,万科A,房地产,4885.112,2020-11,0.5,10.5,0.031875420251134434,0.01484443425122195
2020-11-06,000002,4646.67,万科A,房地产,4885.718,2020-11,0.5,10.5,0.005951272736719471,0.00012405038001173097
2020-11-09,000002,4661.07,万科A,房地产,4981.35,2020-11,0.5,10.5,0.003098993472745004,0.01957378628893447
2020-11-10,000002,4629.66,万科A,房地产,4953.876,2020-11,0.5,10.5,-0.0067387960275215875,-0.005515372338823821
2020-11-11,000002,4687.26,万科A,房地产,4904.898,2020-11,0.5,10.5,0.012441518383639494,-0.009886803787579668
2020-11-12,000002,4685.95,万科A,房地产,4908.463,2020-11,0.5,10.5,-0.0002794809760927608,0.0007268244925786593
2020-11-13,000002,4593.0,万科A,房地产,4856.851,2020-11,0.5,10.5,-0.019835892401754096,-0.010514900489216328
2020-11-16,000002,4612.64,万科A,房地产,4904.172,2020-11,0.5,10.5,0.004276072283910359,0.009743144271874948
2020-11-17,000002,4710.82,万科A,房地产,4894.786,2020-11,0.5,10.5,0.021284990807866944,-0.0019138806713956402
2020-11-18,000002,4816.86,万科A,房地产,4891.672,2020-11,0.5,10.5,0.022509881506828977,-0.0006361871591527013
2020-11-19,000002,4836.49,万科A,房地产,4927.989,2020-11,0.5,10.5,0.004075268951142519,0.007424250849198399
2020-11-20,000002,4831.26,万科A,房地产,4943.288,2020-11,0.5,10.5,-0.0010813627237934442,0.0031045117998436123
2020-11-23,000002,4853.51,万科A,房地产,5005.027,2020-11,0.5,10.5,0.004605423843883294,0.0124894604562793
